problem_id,problem_title,problem_solved,category,submit_id,user_id,result,memory,time,language,code
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91576047,sn1987a,맞았습니다!!,32412,48,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91575992,25010627,런타임 에러 (ValueError),,,Python 3,"a=int(input(""number1=""))
b=int(input(""number2=""))
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91575900,25010627,런타임 에러 (ValueError),,,Python 3,"a=int(input(""number1=""))
b=int(input(""number2=""))
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91575855,brian0315,맞았습니다!!,32412,36,Python 3,"a,b = input().split()
print(int(a)+int(b))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91575725,brian0315,런타임 에러 (NameError),,,Python 3,"a, b = int(input(),split())
print(a + b)
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91575719,bobobo,맞았습니다!!,32544,36,Python 3,"a, b = map(int, input().split())
print(a+b) 
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91575349,taejin3941,맞았습니다!!,32412,36,Python 3,"a = input()
a = a.split(' ')
b = int(a[0])
c = int(a[1])

print(b+c)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91575345,brian0315,런타임 에러 (ValueError),,,Python 3,"a = int(input())
b = int(input())

print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91575268,kjhk8080,런타임 에러 (ValueError),,,Python 3,"a ,b = 0, 0

a = int(input("" ""))
b = int(input("" ""))

print(a + b)
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91575031,rainforest1234,런타임 에러 (ValueError),,,Python 3,"a=int(input())
b=int(input())

print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91574953,kjhk8080,런타임 에러 (ValueError),,,Python 3,"a = 0
b = 0

a = int(input(""정수 입력 :""))
b = int(input(""정수 입력 :""))

print(a + b)
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91574691,brian0315,틀렸습니다,,,Python 3,"def mysum(a,b):
    print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91574524,brian0315,틀렸습니다,,,Python 3,1+2
